round,roster_id,player_id,picked_by,pick_no,is_keeper,draft_slot,draft_id,years_exp,team,status,sport,position,player_id,number,news_updated,last_name,injury_status,first_name,Player Fullname
1,3,4984,987074330058113024,1,,1,1060410180510253056,6,BUF,Active,nfl,QB,4984,17,1710201638878,Allen,,Josh,Josh Allen
1,12,9758,998692352560746496,2,,2,1060410180510253056,1,HOU,Active,nfl,QB,9758,7,1707446127618,Stroud,,C.J.,C.J. Stroud
1,1,4046,1079146414086705152,3,,3,1060410180510253056,7,KC,Active,nfl,QB,4046,15,1710288050761,Mahomes,,Patrick,Patrick Mahomes
1,8,6904,564369169909952512,4,,4,1060410180510253056,4,PHI,Active,nfl,QB,6904,1,1705419607849,Hurts,,Jalen,Jalen Hurts
1,5,4881,735703182587600896,5,,5,1060410180510253056,6,BAL,Active,nfl,QB,4881,8,1710277550396,Jackson,,Lamar,Lamar Jackson
1,7,6786,992197862165377024,6,,6,1060410180510253056,4,DAL,Active,nfl,WR,6786,88,1713204922648,Lamb,,CeeDee,CeeDee Lamb
1,6,3321,990442792889405440,7,,7,1060410180510253056,8,MIA,Active,nfl,WR,3321,10,1705336856364,Hill,,Tyreek,Tyreek Hill
1,10,7547,991952313524797440,8,,8,1060410180510253056,3,DET,Active,nfl,WR,7547,14,1713974453447,St. Brown,,Amon-Ra,Amon-Ra St. Brown
1,2,7564,564663138659733504,9,,9,1060410180510253056,3,CIN,Active,nfl,WR,7564,1,1713978353483,Chase,,Ja'Marr,Ja'Marr Chase
1,9,6794,857665738834558976,10,,10,1060410180510253056,4,MIN,Active,nfl,WR,6794,18,1714325740300,Jefferson,,Justin,Justin Jefferson
1,6,6797,990442792889405440,11,,11,1060410180510253056,4,LAC,Active,nfl,QB,6797,10,1714105519668,Herbert,,Justin,Justin Herbert
1,11,6770,992249754476257280,12,,12,1060410180510253056,4,CIN,Active,nfl,QB,6770,9,1712978103456,Burrow,,Joe,Joe Burrow
2,11,9229,992249754476257280,13,,12,1060410180510253056,1,IND,Active,nfl,QB,9229,5,1711401042732,Richardson,,Anthony,Anthony Richardson
2,9,11560,857665738834558976,14,,11,1060410180510253056,0,CHI,Active,nfl,QB,11560,18,1714091119838,Williams,,Caleb,Caleb Williams
2,9,9509,857665738834558976,15,,10,1060410180510253056,1,ATL,Active,nfl,RB,9509,7,1710361857718,Robinson,,Bijan,Bijan Robinson
2,2,6804,564663138659733504,16,,9,1060410180510253056,4,GB,Active,nfl,QB,6804,10,1713118815021,Love,,Jordan,Jordan Love
2,10,7523,991952313524797440,17,,8,1060410180510253056,3,JAX,Active,nfl,QB,7523,16,1714263936279,Lawrence,,Trevor,Trevor Lawrence
2,6,11628,990442792889405440,18,,7,1060410180510253056,0,ARI,Active,nfl,WR,11628,,1714092920039,Harrison,,Marvin,Marvin Harrison
2,7,3294,992197862165377024,19,,6,1060410180510253056,8,DAL,Active,nfl,QB,3294,4,1713816920822,Prescott,,Dak,Dak Prescott
2,5,8155,735703182587600896,20,,5,1060410180510253056,2,NYJ,Active,nfl,RB,8155,20,1704666025361,Hall,,Breece,Breece Hall
2,8,10859,564369169909952512,21,,4,1060410180510253056,1,DET,Active,nfl,TE,10859,87,1706500239155,LaPorta,,Sam,Sam LaPorta
2,1,9493,1079146414086705152,22,,3,1060410180510253056,1,LAR,Active,nfl,WR,9493,17,1705292450293,Nacua,,Puka,Puka Nacua
2,12,4034,998692352560746496,23,,2,1060410180510253056,7,SF,Active,nfl,RB,4034,23,1707719754620,McCaffrey,,Christian,Christian McCaffrey
2,9,9221,857665738834558976,24,,1,1060410180510253056,1,DET,Active,nfl,RB,9221,26,1706499339269,Gibbs,,Jahmyr,Jahmyr Gibbs
3,11,5859,992249754476257280,25,,12,1060410180510253056,5,PHI,Active,nfl,WR,5859,11,1714091719892,Brown,,A.J.,A.J. Brown
3,4,5849,1081400535607037952,26,,11,1060410180510253056,5,ARI,Active,nfl,QB,5849,1,1704693328822,Murray,,Kyler,Kyler Murray
3,8,8183,564369169909952512,27,,10,1060410180510253056,2,SF,Active,nfl,QB,8183,13,1707714654773,Purdy,,Brock,Brock Purdy
3,2,11566,564663138659733504,28,,9,1060410180510253056,0,WAS,Active,nfl,QB,11566,,1714091719886,Daniels,,Jayden,Jayden Daniels
3,10,8144,991952313524797440,29,,8,1060410180510253056,2,NO,Active,nfl,WR,8144,12,1704672326688,Olave,,Chris,Chris Olave
3,4,11632,1081400535607037952,30,,7,1060410180510253056,0,NYG,Active,nfl,WR,11632,,1714093519859,Nabers,,Malik,Malik Nabers
