Rank,Name,Position,Team,Value
1,Patrick Mahomes,QB1,KCC,9999
2,Justin Jefferson,WR1,MIN,9999
3,Josh Allen,QB2,BUF,9817
4,C.J. Stroud,QB3,HOU,9077
5,Lamar Jackson,QB4,BAL,9069
6,Jalen Hurts,QB5,PHI,8774
7,Justin Herbert,QB6,LAC,8586
8,Joe Burrow,QB7,CIN,8352
9,Sam LaPorta,TE1,DET,8212
10,CeeDee Lamb,WR2,DAL,8136
11,Amon-Ra St. Brown,WR3,DET,8130
12,Marvin Harrison Jr.,WR4,ARI,8081
13,Ja'Marr Chase,WR5,CIN,8060
14,Caleb Williams,QB8,CHI,7804
15,Anthony Richardson,QB9,IND,7747
16,Bijan Robinson,RB1,ATL,7618
17,A.J. Brown,WR6,PHI,7440
18,Garrett Wilson,WR7,NYJ,7384
19,Christian McCaffrey,RB2,SFO,7236
20,Trevor Lawrence,QB10,JAC,7197
21,Tyreek Hill,WR8,MIA,7095
22,Jonathan Taylor,RB3,IND,6860
23,Tua Tagovailoa,QB11,MIA,6858
24,Chris Olave,WR9,NOS,6807
25,Drake London,WR10,ATL,6794
26,Drake Maye,QB12,NEP,6747
27,Malik Nabers,WR11,NYG,6735
28,DeVonta Smith,WR12,PHI,6678
29,Jordan Love,QB13,GBP,6674
30,Breece Hall,RB4,NYJ,6489
31,Travis Etienne,RB5,JAC,6457
32,Dak Prescott,QB14,DAL,6443
33,Kyler Murray,QB15,ARI,6419
34,Brandon Aiyuk,WR13,SFO,6259
35,Jahmyr Gibbs,RB6,DET,6240
36,Kenneth Walker III,RB7,SEA,6145
37,Brock Bowers,TE2,LVR,6082
38,Jayden Daniels,QB16,WAS,6081
39,De'Von Achane,RB8,MIA,6046
40,Jaylen Waddle,WR14,MIA,6036
41,Jaxon Smith-Njigba,WR15,SEA,6014
42,DK Metcalf,WR16,SEA,6005
43,Michael Pittman,WR17,IND,5922
44,Jordan Addison,WR18,MIN,5922
45,D.J. Moore,WR19,CHI,5885
46,Jared Goff,QB17,DET,5845
47,Tee Higgins,WR20,CIN,5841
48,T.J. Hockenson,TE3,MIN,5809
49,D'Andre Swift,RB9,CHI,5713
50,Josh Jacobs,RB10,GBP,5620
51,James Cook,RB11,BUF,5612
52,Rome Odunze,WR21,CHI,5605
53,Saquon Barkley,RB12,PHI,5603
54,Kyle Pitts,TE4,ATL,5587
55,Bryce Young,QB18,CAR,5582
56,Mark Andrews,TE5,BAL,5494
57,Zay Flowers,WR22,BAL,5480
58,Deebo Samuel,WR23,SFO,5458
59,Kyren Williams,RB13,LAR,5305
60,Nico Collins,WR24,HOU,5293
61,Brian Thomas Jr.,WR25,JAC,5291
62,Isiah Pacheco,RB14,KCC,5259
63,Austin Ekeler,RB15,WAS,5254
64,Joe Mixon,RB16,HOU,5186
65,Davante Adams,WR26,LVR,5178
66,George Pickens,WR27,PIT,5172
67,Justin Fields,QB19,PIT,5156
68,Mike Evans,WR28,TBB,5140
69,Stefon Diggs,WR29,HOU,5064
70,Terry McLaurin,WR30,WAS,5052
71,Rachaad White,RB17,TBB,5051
72,Deshaun Watson,QB20,CLE,5028
73,Dalton Kincaid,TE6,BUF,4999
74,Diontae Johnson,WR31,CAR,4997
75,Chris Godwin,WR32,TBB,4972
76,Romeo Doubs,WR33,GBP,4945
77,Amari Cooper,WR34,CLE,4907
78,Christian Watson,WR35,GBP,4880
79,George Kittle,TE7,SFO,4878
80,Javonte Williams,RB18,DEN,4878
81,Tony Pollard,RB19,TEN,4845
82,Rashee Rice,WR36,KCC,4835
83,Rhamondre Stevenson,RB20,NEP,4823
84,Christian Kirk,WR37,JAC,4805
85,Trey McBride,TE8,ARI,4783
86,Keenan Allen,WR38,CHI,4726
87,Cooper Kupp,WR39,LAR,4721
88,David Montgomery,RB21,DET,4708
89,Kirk Cousins,QB21,ATL,4698
90,Najee Harris,RB22,PIT,4657
91,Aaron Jones,RB23,MIN,4648
