League,Week,Winner,Loser,Winner Pts,Loser Pts
MainLeague,3,ChiJV,ConorDeLa,182.92,101.92
MainLeague,5,ChiJV,Mschmoopie,183.0,131.08
MainLeague,1,ChiJV,tford51,148.72,115.78
MainLeague,4,ChiJV,ProfessorD,158.1,130.18
MainLeague,2,ChiJV,plfinken,166.48,126.28
MainLeague,7,ChiJV,koolaid403,102.7,101.84
BB1,2,ProfessorD,theBandit216,150.14,144.52
BB1,3,ProfessorD,jnappy,207.5,129.58
BB1,7,ProfessorD,koolaid403,175.2,125.94
BB1,5,ProfessorD,tford51,162.26,135.12
BB1,1,ProfessorD,aledo,161.64,146.18
BB2,4,ProfessorD,theBandit216,167.0,158.36
BB2,1,ProfessorD,koolaid403,172.64,163.52
BB2,6,ProfessorD,Mschmoopie,178.6,125.86
BB2,3,ProfessorD,tford51,195.18,162.66
QuickDraft 1,4,ProfessorD,koolaid403,194.32,119.32
QuickDraft 1,3,ProfessorD,ConorDeLa,163.54,160.04
QuickDraft 1,2,ProfessorD,Frank1983,171.86,156.38
QuickDraft 1,7,ProfessorD,aledo,156.76,142.92
QuickDraft 1,5,ProfessorD,theBandit216,116.72,107.94
Quickdraft 2,6,ProfessorD,aledo,183.64,160.24
Quickdraft 2,3,ProfessorD,tford51,151.86,136.74
Quickdraft 2,2,ProfessorD,Frank1983,156.22,148.04
BB3,1,ProfessorD,ConorDeLa,142.48,119.86
BB3,2,ProfessorD,Mschmoopie,209.24,154.42
BB3,5,ProfessorD,gpeisert1,128.16,118.88
BB4,3,ProfessorD,gpeisert1,172.58,142.68
BB4,1,ProfessorD,ConorDeLa,137.38,119.2
BB5,4,ProfessorD,theBandit216,172.56,128.94
BB5,1,ProfessorD,WestCoastNonsense,144.98,131.18
BB5,2,ProfessorD,aledo,157.02,139.58
BB5,7,ProfessorD,koolaid403,184.96,168.2
BB5,3,ProfessorD,Fordo45,223.5,101.86
MainLeague,7,gpeisert1,WestCoastNonsense,123.1,105.58
MainLeague,2,gpeisert1,Mschmoopie,193.06,135.06
MainLeague,5,gpeisert1,theBandit216,193.98,125.74
MainLeague,3,gpeisert1,ProfessorD,172.8,83.28
BB1,5,gpeisert1,theBandit216,180.68,153.82
BB1,7,gpeisert1,Mschmoopie,175.82,136.76
BB1,1,gpeisert1,ChiJV,160.86,150.64
BB1,6,gpeisert1,tford51,183.8,150.8
BB1,3,gpeisert1,plfinken,165.96,141.02
BB2,2,jnappy,ProfessorD,152.82,151.18
BB2,6,jnappy,ConorDeLa,144.28,116.86
BB2,3,jnappy,koolaid403,186.14,125.06
BB2,7,jnappy,ChiJV,135.96,125.32
QuickDraft 1,6,koolaid403,Frank1983,151.82,145.02
QuickDraft 1,5,koolaid403,tford51,153.16,131.78
BB3,3,tford51,ProfessorD,127.58,117.78
BB3,2,tford51,ConorDeLa,159.88,116.82
BB3,4,tford51,WestCoastNonsense,145.54,143.68
BB3,7,tford51,JeffMyers,162.74,150.98
BB4,2,gpeisert1,ConorDeLa,170.62,134.74
BB4,5,gpeisert1,WestCoastNonsense,148.34,102.86
BB4,7,gpeisert1,theBandit216,183.76,119.24
BB4,6,gpeisert1,JeffMyers,169.3,153.42
BB5,5,ConorDeLa,ProfessorD,169.9,140.36
MainLeague,5,WestCoastNonsense,ConorDeLa,169.24,105.86
