practice_participation,yahoo_id,weight,dl_trading_id,news_updated,hashtag,position,search_full_name,number,depth_chart_order,team,injury_body_part,full_name,stats_id,search_first_name,high_school,swish_id,pandascore_id,last_name,first_name,fantasy_data_id,college,rotowire_id,injury_status,search_rank,sport,depth_chart_position,status,metadata,years_exp,practice_description,fantasy_positions,rotoworld_id,espn_id,active,age,gsis_id,birth_state,player_id,birth_country,birth_date,oddsjam_id,injury_start_date,search_last_name,sportradar_id,birth_city,injury_notes,height
,30715.0,190,,1701897349719.0,#gregward-NFL-PHI-84,WR,gregward,84.0,,PHI,,Greg Ward,741292.0,greg,John Tyler (TX),741292.0,,Ward,Greg,19705.0,Houston,11883.0,,9999999.0,nfl,,Active,{'rookie_year': '2017'},7.0,,WR,12815.0,3040035.0,True,28.0,00-0033733,,6744,,1995-07-12,3349E777E3F6,,ward,0832c8ad-0872-446f-ad6e-0e309e8443d1,,,71
,24942.0,242,,1565134827397.0,#nilespaul-NFL-FA-0,TE,nilespaul,0.0,,,,Niles Paul,406159.0,niles,Millard North (NE),,,Paul,Niles,13170.0,Nebraska,7384.0,,9999999.0,nfl,,Injured Reserve,,11.0,,TE,6661.0,14156.0,False,32.0,00-0028093,,918,,1989-08-09,,,paul,38f5843a-8318-4eb7-b517-c83d415e77a4,,,73
,26886.0,178,,,#quincymcduffie-NFL-FA-16,WR,quincymcduffie,16.0,,,,Quincy McDuffie,,quincy,Edgewater (FL),,,McDuffie,Quincy,15554.0,Central Florida,9033.0,,9999999.0,nfl,,Active,,9.0,,WR,,,True,31.0,,,4910,,1990-09-24,,,mcduffie,3b6aa74d-d3a9-445f-8415-254d6cabe7a9,,,70
,6791.0,255,,1584377415560.0,#benjaminwatson-NFL-FA-0,TE,benjaminwatson,0.0,,,,Benjamin Watson,246082.0,benjamin,Northwestern (SC),,,Watson,Benjamin,11756.0,Georgia,3872.0,,9999999.0,nfl,,Injured Reserve,,18.0,,TE,48.0,5557.0,True,41.0,00-0022943,,663,,1980-12-18,,,watson,d81844de-54c3-42ee-9850-072dc4131b6f,,,75
,31298.0,253,,,#alecbloom-NFL-FA-87,TE,alecbloom,87.0,,,,Alec Bloom,838256.0,alec,Ligonier Valley Senior,,,Bloom,Alec,20464.0,Connecticut,13209.0,,9999999.0,nfl,,Active,,4.0,,TE,,3125891.0,True,25.0,00-0034472,,5385,,1996-04-03,,,bloom,69e38370-3c00-470d-aed2-af98bcddb7c1,,,78
,26024.0,210,,1571191251347.0,#travariscadet-NFL-FA-38,RB,travariscadet,38.0,,,,Travaris Cadet,400644.0,travaris,Miami Central (FL),,,Cadet,Travaris,14352.0,Appalachian State,8454.0,,9999999.0,nfl,,Inactive,,10.0,,RB,7758.0,15457.0,False,32.0,00-0029205,,1185,,1989-02-01,,,cadet,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,,,73
,30416.0,247,,,#johnrobinsonwoodgett-NFL-FA-42,RB,johnrobinsonwoodgett,42.0,,,,John Robinson-Woodgett,703309.0,john,Cathedral (MA),,,Robinson-Woodgett,John,19376.0,Massachusetts,,,9999999.0,nfl,,Active,,5.0,,RB,,2982839.0,True,28.0,,,4504,,1993-08-01,,,robinsonwoodgett,fdc94755-aca2-4368-b286-575e7f6c3487,,,73
,31506.0,180,,1537901103250.0,#janariongrant-NFL-FA-84,WR,janariongrant,84.0,,,,Janarion Grant,746179.0,janarion,Pasco,,,Grant,Janarion,20585.0,Rutgers,12760.0,,9999999.0,nfl,,Inactive,,4.0,,WR,,3047490.0,False,28.0,00-0034307,,5567,,1993-11-20,,,grant,393cdcc9-20ec-4d07-b8bf-6848398b6ab8,,,69
,32467.0,185,,1557865826649.0,#charlesholland-NFL-FA-0,WR,charlesholland,0.0,,,,Charles Holland,1166934.0,charles,West,,,Holland,Charles,21527.0,Tiffin,13997.0,,9999999.0,nfl,,Active,{'override_active': 'false'},0.0,,WR,,4069839.0,False,,,,6643,,,,,holland,a70ceaf4-61e2-4687-b77a-8d2f62eb1af1,,,76
,,194,,1693352703652.0,#johnhall-NFL-FA-82,WR,johnhall,82.0,,,,John Hall,,john,Macomb Dakota (MI),1447766.0,,Hall,John,,Northwood,17603.0,,317.0,nfl,,Active,,1.0,,WR,,,True,25.0,,,11223,,1997-12-07,,,hall,09934a90-ea04-11ed-8d34-41182339b277,,,75
,30352.0,215,,1710276950333.0,#noahbrown-NFL-HOU-85,WR,noahbrown,85.0,,HOU,Shoulder,Noah Brown,836103.0,noah,Pope John XXIII (NJ),836103.0,,Brown,Noah,19080.0,Ohio State,11849.0,Questionable,240.0,nfl,SWR,Active,{'rookie_year': '2017'},7.0,,WR,,3121409.0,True,28.0,00-0033591,,4234,,1996-01-06,EA12AF80F583,,brown,36f62824-1cdb-4e9e-8a11-55df97e562b9,,,74
,27648.0,250,,1709333452261.0,#loganthomas-NFL-FA-82,TE,loganthomas,82.0,,,Undisclosed,Logan Thomas,507528.0,logan,Brookville (VA),507528.0,,Thomas,Logan,16656.0,Virginia Tech,9323.0,Questionable,596.0,nfl,,Active,{'rookie_year': '2014'},10.0,,TE,9354.0,16813.0,True,32.0,00-0031260,,2251,,1991-07-01,EDCE80B57F5C,,thomas,b24625a0-d402-4d59-a778-aa4b073bfe5e,,,78
,29450.0,220,,1641448515299.0,#dariusjackson-NFL-FA-0,RB,dariusjackson,0.0,,,,Darius Jackson,694135.0,darius,Sparta (IL),694135.0,,Jackson,Darius,18132.0,Eastern Michigan,11190.0,,670.0,nfl,,Active,,6.0,,RB,,2980197.0,True,28.0,00-0033049,,3371,,1993-12-01,,,jackson,b6ec1773-309e-422c-b82c-b55a557031d6,,,72
,25810.0,175,,1635697526973.0,#travisbenjamin-NFL-FA-17,WR,travisbenjamin,17.0,,,,Travis Benjamin,464646.0,travis,Glades Central (FL),464646.0,,Benjamin,Travis,13887.0,Miami (FL),8111.0,,9999999.0,nfl,,Active,,10.0,,WR,7562.0,15062.0,True,32.0,00-0029269,,1077,,1989-12-29,,,benjamin,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,,,70
,,213,,1698777027070.0,#natemccrary-NFL-FA-31,RB,natemccrary,31.0,,,,Nate McCrary,,nate,Reeths-Puffer (MI),1284191.0,,McCrary,Nate,,Saginaw Valley State,15667.0,,474.0,nfl,,Active,{'rookie_year': '2021'},2.0,,RB,,,True,24.0,,,8058,,1999-04-09,C1C1760F2373,,mccrary,8f5392ce-36c3-4613-967c-abcec98f591c,,,72
,,269,,,#nickkasa-NFL-FA-84,TE,nickkasa,84.0,,,,Nick Kasa,500554.0,nick,,,,Kasa,Nick,15068.0,Colorado,8908.0,,9999999.0,nfl,,Inactive,,2.0,,TE,,15962.0,False,26.0,,,1473,,1990-11-05,,,kasa,578db999-6f6c-4b31-851c-9adb585e1c5a,,,"6'6"""
,32162.0,225,,1576090851176.0,#xavierturner-NFL-FA-41,RB,xavierturner,41.0,,,,Xavier Turner,835062.0,xavier,Birdville (TX),,,Turner,Xavier,21317.0,Tarleton State,14042.0,,9999999.0,nfl,,Active,,3.0,,RB,,3119996.0,True,27.0, 00-0035494,,6372,,1994-12-24,,,turner,91671654-f27f-498a-b3ed-7bf006ee3f2b,,,70
,,210,,1693241149135.0,#dariushagans-NFL-FA-25,RB,dariushagans,25.0,,,,Darius Hagans,,darius,Grassfield (VA),1190024.0,,Hagans,Darius,,Virginia State,17322.0,,622.0,nfl,,Active,,1.0,,RB,,,True,24.0,,,11283,,1999-07-11,,,hagans,4b14b100-eb7d-11ed-bdbc-7f2763e63be6,,,72
,30653.0,222,,1536282602776.0,#damoreeastringfellow-NFL-FA-17,WR,damoreeastringfellow,17.0,,,,Damore'ea Stringfellow,747911.0,damoreea,Rancho Verde (CA),,,Stringfellow,Damore'ea,19260.0,Mississippi,11688.0,,9999999.0,nfl,,Active,,5.0,,WR,,3052182.0,True,27.0,00-0033417,,4401,,1994-10-18,,,stringfellow,a8dbddc6-b4c9-4c8e-86c8-2e49026e7418,,,74
,33098.0,212,,1660167603307.0,#dariusanderson-NFL-FA-30,RB,dariusanderson,30.0,,,Knee,Darius Anderson,,darius,George Ranch (TX),913387.0,,Anderson,Darius,21792.0,TCU,14565.0,Questionable,303.0,nfl,,Inactive,,2.0,,RB,,4038533.0,True,25.0,,,7038,,1997-09-10,,,anderson,9a5ebed1-839d-40f9-a86e-ba9c65c7c7e6,,Surgery,71
,32946.0,200,,1628815218411.0,#kalijalipscomb-NFL-FA-19,WR,kalijalipscomb,19.0,,,,Kalija Lipscomb,,kalija,Jesuit (LA),,,Lipscomb,Kalija,21716.0,Vanderbilt,14640.0,,9999999.0,nfl,,Active,,2.0,,WR,,4035277.0,True,24.0,,,6832,,1997-10-06,,,lipscomb,528b6f5c-7043-4c5a-bb04-7314b1e0f155,,,73
,32613.0,192,,1564015532496.0,#marceliassutton-NFL-FA-0,RB,marceliassutton,0.0,,,,Marcelias Sutton,976239.0,marcelias,James Kenan,,,Sutton,Marcelias,21614.0,Oklahoma,14319.0,,9999999.0,nfl,,Active,,3.0,,RB,,4241403.0,True,,,,6700,,,,,sutton,a5b32b41-5394-41ab-b5ec-a8a0824b5605,,,69
,,201,,,#reggiecorbin-NFL-FA-0,RB,reggiecorbin,0.0,,,,Reggie Corbin,,reggie,,,,Corbin,Reggie,21805.0,Illinois,,NA,9999999.0,nfl,,Inactive,{'override_active': 'false'},0.0,,RB,,,False,,,,6978,,,,,corbin,,,,"5'8"""
,,218,,,#kevinkolb-NFL-FA-4,QB,kevinkolb,4.0,,,,Kevin Kolb,,kevin,,,,Kolb,Kevin,7034.0,Houston,,,9999999.0,nfl,,Inactive,,7.0,,QB,,,False,33.0,,,278,,1984-08-24,,,kolb,,,,"6'3"""
