full_name,espn_id,rotowire_id,sportradar_id,yahoo_id,college,years_experience,team,position,coach,bye,league_name
Jonathan Mingo,-1,16937,6cf0c82d-87e4-4cfc-8475-77667ed92796,-1,Ole Miss,1.0,CAR,WR,ChiJV,11,MainLeague
Rashee Rice,-1,16963,cbd73c09-da07-48b0-a0d6-f248dfa631b6,-1,SMU,1.0,KC,WR,ChiJV,6,MainLeague
Roschon Johnson,-1,16772,e3c414c0-be8c-4807-af9c-f91d89c83e60,-1,Texas,1.0,CHI,RB,ChiJV,7,MainLeague
Brenden Rice,-1,17756,5c33558d-02fb-4c99-88d3-37083472c19f,-1,USC,0.0,LAC,WR,ChiJV,5,MainLeague
Luke McCaffrey,-1,17820,5cfd82f8-9e73-48d7-914e-9051ff52d67d,-1,Rice,0.0,WAS,WR,ChiJV,14,MainLeague
DeAndre Hopkins,15795,8619,5c48ade7-4b9a-4757-9643-87a6e3839e2b,26650,Clemson,11.0,TEN,WR,ChiJV,5,MainLeague
Mike Evans,16737,9253,c48c21d9-0ae5-478c-ad34-30a660cfa9b8,27535,Texas A&M,10.0,TB,WR,ChiJV,11,MainLeague
Derrick Henry,3043078,10819,87c481c7-7414-43cc-82df-19ca0c2ae22e,29279,Alabama,8.0,BAL,RB,ChiJV,14,MainLeague
Hunter Henry,3046439,10735,705899da-3c20-4bc3-b5d0-2e6e40655131,29269,Arkansas,8.0,NE,TE,ChiJV,14,MainLeague
Tyler Higbee,2573401,10854,0df7912d-9e81-47ea-b4f7-d04986df4ee8,29344,Western Kentucky,8.0,LAR,TE,ChiJV,6,MainLeague
Alvin Kamara,3054850,11732,d9c857b2-97da-4fb8-a527-afbbb2a67413,30180,Tennessee,7.0,NO,RB,ChiJV,12,MainLeague
Cooper Kupp,2977187,11863,2806e915-c46f-492f-8a29-71d3a85e5620,30182,Eastern Washington,7.0,LAR,WR,ChiJV,6,MainLeague
Patrick Mahomes,3139477,11839,11cad59d-90dd-449c-a839-dddaba4fe16c,30123,Texas Tech,7.0,KC,QB,ChiJV,6,MainLeague
Jamaal Williams,2980453,11777,122e131c-b08c-4b10-901d-481a20aeffb8,30247,BYU,7.0,NO,RB,ChiJV,12,MainLeague
