Rank,Name,Position,Team,Value
51,James Cook,RB11,BUF,5612
52,Rome Odunze,WR21,CHI,5605
53,Saquon Barkley,RB12,PHI,5603
54,Kyle Pitts,TE4,ATL,5587
55,Bryce Young,QB18,CAR,5582
56,Mark Andrews,TE5,BAL,5494
57,Zay Flowers,WR22,BAL,5480
58,Deebo Samuel,WR23,SFO,5458
59,Kyren Williams,RB13,LAR,5305
60,Nico Collins,WR24,HOU,5293
61,Brian Thomas Jr.,WR25,JAC,5291
62,Isiah Pacheco,RB14,KCC,5259
63,Austin Ekeler,RB15,WAS,5254
64,Joe Mixon,RB16,HOU,5186
65,Davante Adams,WR26,LVR,5178
66,George Pickens,WR27,PIT,5172
67,Justin Fields,QB19,PIT,5156
68,Mike Evans,WR28,TBB,5140
69,Stefon Diggs,WR29,HOU,5064
70,Terry McLaurin,WR30,WAS,5052
71,Rachaad White,RB17,TBB,5051
72,Deshaun Watson,QB20,CLE,5028
73,Dalton Kincaid,TE6,BUF,4999
74,Diontae Johnson,WR31,CAR,4997
75,Chris Godwin,WR32,TBB,4972
76,Romeo Doubs,WR33,GBP,4945
77,Amari Cooper,WR34,CLE,4907
78,Christian Watson,WR35,GBP,4880
79,George Kittle,TE7,SFO,4878
80,Javonte Williams,RB18,DEN,4878
81,Tony Pollard,RB19,TEN,4845
82,Rashee Rice,WR36,KCC,4835
83,Rhamondre Stevenson,RB20,NEP,4823
84,Christian Kirk,WR37,JAC,4805
85,Trey McBride,TE8,ARI,4783
86,Keenan Allen,WR38,CHI,4726
87,Cooper Kupp,WR39,LAR,4721
88,David Montgomery,RB21,DET,4708
89,Kirk Cousins,QB21,ATL,4698
90,Najee Harris,RB22,PIT,4657
91,Aaron Jones,RB23,MIN,4648
92,Matthew Stafford,QB22,LAR,4644
93,Marquise Brown,WR40,KCC,4637
94,J.J. McCarthy,QB23,MIN,4613
95,Travis Kelce,TE9,KCC,4610
96,Michael Penix Jr.,QB24,ATL,4592
97,Will Levis,QB25,TEN,4574
98,Baker Mayfield,QB26,TBB,4568
99,Cole Kmet,TE10,CHI,4548
100,Bo Nix,QB27,DEN,4497
